"Variable","# Missing","Total Rows","Percent Missing"
"gross_intake_ratio_first_grade_F",1060,1064,99.6
"secondary_education_percent_F",1059,1064,99.5
"secondary_education_percent_M",1059,1064,99.5
"women_3_decisions",1047,1064,98.4
"informed_repro_health",1045,1064,98.2
"wanted_fertility_rate",1042,1064,97.9
"family_planning_demand",1041,1064,97.8
"mean_income_per_cap_bottom_40_percent",1003,1064,94.3
"percent_pregnant_receiving_prenatal_care",990,1064,93
"prop_spending_more_25_percent_healthcare_oop",983,1064,92.4
"prop_spending_more_10_percent_healthcare_oop",982,1064,92.3
"female_primary_age_oo_school",975,1064,91.6
"female_below_min_reading_proficiency",975,1064,91.6
"HCI",911,1064,85.6
"death_by_infectious_disease_or_maternal_conditions",833,1064,78.3
"prop_ppl_below_50_med_income",769,1064,72.3
"income_share_low_10_percent",769,1064,72.3
"income_share_low_20_percent",769,1064,72.3
"literacy_rate_15_to_24",685,1064,64.4
"school_enrollment_primary_and_secondary",678,1064,63.7
"school_enrollment_secondary",674,1064,63.3
"female_primary_age_oo_school.1",618,1064,58.1
"gender_equality_rating",605,1064,56.9
"school_enrollment_primary",596,1064,56
"labor_force_advanced_education_male_percent",540,1064,50.8
"labor_force_advanced_education_female_percent",541,1064,50.8
"labor_force_basic_education_male_percent",537,1064,50.5
"labor_force_basic_education_female_percent",537,1064,50.5
"labor_force_intermediate_education_male_percent",537,1064,50.5
"labor_force_intermediate_education_total_percent",536,1064,50.4
"net_income_growth_per_cap",526,1064,49.4
"labor_force_particpation_15_24",498,1064,46.8
"school_enrollment_tertiary",390,1064,36.7
"lower_secondary_female_share",349,1064,32.8
"lower_secondary_school_completion_rate_M",348,1064,32.7
"lower_secondary_completion_rate_F",347,1064,32.6
"primary_school_completion_rate_F",335,1064,31.5
"primary_school_completion_rate_M",335,1064,31.5
"primary_female_share",335,1064,31.5
"education_expenditure",323,1064,30.4
"secondary_education_count",288,1064,27.1
"health_expenditure_per_capita",106,1064,10
"infant_mortality_rate",88,1064,8.3
"neonatal_mortality_rate",88,1064,8.3
"gdp_capita_growth",37,1064,3.5
"gdp",36,1064,3.4
"adolescent_fertility_rate",4,1064,0.4
"percent_female_pop",4,1064,0.4
"population_total",4,1064,0.4
"birth_rate",4,1064,0.4
"economy",0,1064,0
"year",0,1064,0
